metric,threshold_m,n_paths,n_points,beam_enabled_paths,beam_enabled_points,wifi_mae_m,always_beam_mae_m,gated_mae_m,gated_minus_wifi_m,gated_minus_beam_m
mean,1.5,5,40,1,2,11.619039083658853,13.506315075353447,11.545122058552458,-0.07391702510639533,-1.9611930168009892
mean,2.0,5,40,1,2,11.619039083658853,13.506315075353447,11.545122058552458,-0.07391702510639533,-1.9611930168009892
mean,3.0,5,40,1,2,11.619039083658853,13.506315075353447,11.545122058552458,-0.07391702510639533,-1.9611930168009892
mean,0.5,5,40,0,0,11.619039083658853,13.506315075353447,11.619039083658853,0.0,-1.8872759916945938
mean,1.0,5,40,0,0,11.619039083658853,13.506315075353447,11.619039083658853,0.0,-1.8872759916945938
mean,4.0,5,40,3,24,11.619039083658853,13.506315075353447,12.154281044162923,0.5352419605040695,-1.3520340311905243
mean,5.0,5,40,3,24,11.619039083658853,13.506315075353447,12.154281044162923,0.5352419605040695,-1.3520340311905243
mean,6.0,5,40,4,36,11.619039083658853,13.506315075353447,13.373752931919844,1.754713848260991,-0.13256214343360284
mean,8.0,5,40,5,40,11.619039083658853,13.506315075353447,13.506315075353445,1.887275991694591,-2.842170943040401e-15
